Census Tract FIPS Code,County,Total Population,% Non-Hispanic White,% Black,% Hispanic,% Asian,% Native Hawaiian & Other Pacific Islander,% American Indian & Alaskan Native,% Poverty,AB 1550 Low-Income Communities,Metropolitan Planning Organization,SB 535 Disadvantaged Communities,Area Median Income (Regionally Adjusted),Land Area (sqmi),Population Density (sqmi),Population Density (Percentile),% Bike for Job Commute,% Carpooled for Job Commute,% Drove Alone for Job Commute,% Households Paying 30-49% of Income Towards Housing Costs,Clunker Vehicles (Percentile),% Households Paying 50% or More of Income Towards Housing Costs,% Households with No Vehicle,% Multi-Family Housing Units,% No Health Insurance,% Owner-Occupied Households,% Public Transportation for Job Commute,% Renter-Occupied Households,% Single-Family Housing Units,% Walk for Job Commute,% with Medicaid Health Insurance Only,Accessibility to Employment Opportunities (Percentile),All Traffic Accidents (Percentile),Asthma Prevalence,Asthma Prevalence (Percentile),Auto Insurance Premium (Percentile),Availability of Parks & Public Open Space per Population (Percentile),Availability of Weighted Bikeways per Population (Percentile),Average Commute VMT (Percentile),Average Travel Time to Work (Minutes),Average VMT per Household (Percentile),Cardiovascular Disease (Percentile),Cardiovascular Disease Prevalence,High-Quality Transit Locations (Percentile),Housing Unit Density (Percentile),Housing Unit Density (sqmi),Job Density (Percentile),Job Density (sqmi),Jobs-Housing Fit (Percentile),Largest Ethnoracial Group,Lending Barriers (Percentile),Life Expectancy at Birth,Median Household Income,"Neighborhood Change, Housing Variables (Percentile)","Neighborhood Change, Socioeconomic Variables (Percentile)",Newer Clean Vehicles (Percentile),Older Clean Vehicles (Percentile),Primary Care Shortage Areas,Total Housing Units,Total Occupied Housing Units,Vehicles per Household,Walkability Index,Walkability Index (Percentile),x,y
6037620522,Los Angeles,4968,52.6,2.74,17.29,15.02,0,0.56,3.95,No,SCAG,No,04. 140%+,0.2889431,17193.7,80 to 90,0.67,10.23,83.25,19.78,20 to 30,15.84,6.37,42.54,5.58,48.92,2.37,51.08,57.46,1.74,4.55,80 to 90,40 to 50,24.33,10 to 20,60 to 70,20 to 30,0,30 to 40,31.49,20 to 30,10 to 20,5.05,7,90 to 100,6631.06,40 to 50,1024.42,70 to 80,Non-Hispanic White,0 to 10,78.9,106654,70 to 80,10 to 20,80 to 90,80 to 90,No,1916,1805,1.91,15.06,80 to 90,,
6037620601,Los Angeles,5030,46.62,4.12,26.02,16.64,0,0,5.77,No,SCAG,No,04. 140%+,0.5273955,9537.43,60 to 70,3.24,6.98,84.55,28.38,20 to 30,25.18,3.07,48.7,4.27,49.38,0.83,50.62,49.5,1.16,4.47,80 to 90,70 to 80,33.1,30 to 40,60 to 70,20 to 30,5,40 to 50,30.88,10 to 20,30 to 40,6.6,7,80 to 90,4753.55,90 to 100,6505.55,70 to 80,Non-Hispanic White,10 to 20,81.7,87604,50 to 60,40 to 50,80 to 90,80 to 90,Yes,2507,2246,1.74,14.65,70 to 80,,
6037620602,Los Angeles,5165,59.34,0,23.64,13.49,0,0.17,3.37,No,SCAG,No,04. 140%+,0.5217398,9899.57,70 to 80,2.45,5.31,88.84,23.99,40 to 50,2.93,0.89,13.63,4.48,77.63,0.33,22.37,81.95,0.37,1.01,70 to 80,50 to 60,23.98,10 to 20,60 to 70,50 to 60,3,30 to 40,25.56,40 to 50,10 to 20,4.82,4,70 to 80,3992.41,60 to 70,1935.83,70 to 80,Non-Hispanic White,20 to 30,81.4,126908,0 to 10,50 to 60,70 to 80,70 to 80,No,2083,1909,2.21,14.19,70 to 80,,
6037620701,Los Angeles,7184,63.32,5.87,13.35,11.14,0,0.9,3.05,No,SCAG,No,04. 140%+,0.393454,18258.81,80 to 90,1.46,7.43,83.67,19.08,10 to 20,13.18,2.25,34.66,4.82,59.96,3.34,40.04,63.78,1.93,4.24,70 to 80,60 to 70,31.92,20 to 30,60 to 70,10 to 20,3,30 to 40,31.48,20 to 30,20 to 30,6.41,6,90 to 100,7347.75,60 to 70,1959.57,80 to 90,Non-Hispanic White,0 to 10,81.5,113789,30 to 40,50 to 60,90 to 100,90 to 100,Yes,2891,2800,1.97,15.79,80 to 90,,
6037620702,Los Angeles,7391,62.28,3.13,14.04,15.45,0.19,0.16,3,No,SCAG,No,04. 140%+,0.5117835,14441.65,80 to 90,1.3,7.63,88.24,17.17,20 to 30,12.39,0,6.65,5.22,70.04,0.25,29.96,93.35,0.81,4.94,70 to 80,40 to 50,27.67,20 to 30,60 to 70,30 to 40,0,30 to 40,28,20 to 30,20 to 30,5.69,4,80 to 90,5168.2,20 to 30,451.36,80 to 90,Non-Hispanic White,0 to 10,81.5,148565,20 to 30,50 to 60,90 to 100,80 to 90,No,2645,2537,2.11,10.32,40 to 50,,
6037620800,Los Angeles,7735,61.87,0.37,10.15,21.85,0,0,3.15,No,SCAG,No,04. 140%+,0.958867,8066.81,60 to 70,0.57,6.95,88.66,13.95,30 to 40,12.55,2.38,13.9,4.12,73.98,2.21,26.02,85.41,1.61,2.07,70 to 80,40 to 50,15.14,0 to 10,60 to 70,10 to 20,1,40 to 50,32.43,20 to 30,0 to 10,4.45,4,60 to 70,3045.26,70 to 80,2881.53,80 to 90,Non-Hispanic White,0 to 10,87.2,158668,20 to 30,60 to 70,90 to 100,90 to 100,No,2920,2775,2.11,15.69,80 to 90,,
6037620901,Los Angeles,2943,73.09,0.78,9.45,11.42,0,0,6.37,No,SCAG,No,04. 140%+,0.3372247,8727.12,60 to 70,0,3.61,90.77,16.33,20 to 30,12.24,1.2,11.92,0.95,81.27,3.61,18.73,88.08,2.01,1.6,70 to 80,50 to 60,15.73,0 to 10,60 to 70,30 to 40,4,40 to 50,30.48,10 to 20,10 to 20,4.93,5,60 to 70,3134.41,80 to 90,4041.82,90 to 100,Non-Hispanic White,10 to 20,88.1,201125,80 to 90,40 to 50,90 to 100,90 to 100,No,1057,1004,2.25,17.69,90 to 100,,
6037620904,Los Angeles,2900,86.1,0,4.31,3.21,0,0.41,3.42,No,SCAG,No,04. 140%+,0.2224636,13035.84,80 to 90,0.95,10.16,80.44,12.13,30 to 40,16.89,0.7,12.67,1.9,61.91,1.61,38.09,87.33,6.84,1.34,70 to 80,30 to 40,15.85,0 to 10,60 to 70,70 to 80,9,30 to 40,24.52,20 to 30,10 to 20,4.96,9,80 to 90,6490.95,90 to 100,10693.88,90 to 100,Non-Hispanic White,10 to 20,82.5,177632,70 to 80,40 to 50,90 to 100,90 to 100,No,1444,1150,2.05,16.8,90 to 100,,
6037621001,Los Angeles,4457,72.25,0.56,12.81,6.44,0,1.55,1.91,No,SCAG,No,04. 140%+,0.358948,12416.84,70 to 80,2.06,6.58,88.05,14.67,30 to 40,14.14,5.86,40.87,1.32,55.53,0.5,44.47,59.13,2.81,1.93,70 to 80,60 to 70,12.53,0 to 10,60 to 70,40 to 50,4,30 to 40,27.55,10 to 20,10 to 20,4.99,8,80 to 90,5658.2,90 to 100,6608.2,80 to 90,Non-Hispanic White,20 to 30,83.9,127750,10 to 20,60 to 70,90 to 100,90 to 100,No,2031,1945,1.71,19.05,90 to 100,,
6037621002,Los Angeles,976,81.66,3.89,3.69,10.14,0,0,9.53,No,SCAG,No,04. 140%+,0.1135075,8598.55,60 to 70,1.78,5.51,82.66,11.07,10 to 20,18.91,1,46.23,1.02,37.85,1.78,62.15,53.77,1.46,1.23,70 to 80,20 to 30,12.6,0 to 10,60 to 70,60 to 70,9,20 to 30,29.96,0 to 10,10 to 20,5.4,8,80 to 90,5603.15,50 to 60,1427.22,80 to 90,Non-Hispanic White,40 to 50,,117262,50 to 60,90 to 100,90 to 100,90 to 100,No,636,502,1.76,14.83,70 to 80,,
6037621004,Los Angeles,4247,81.3,0.07,9.16,4.71,0,0.89,5.68,No,SCAG,No,04. 140%+,0.338405,12550.05,70 to 80,0,5.37,88.23,15.48,10 to 20,18.4,2.32,43.86,3.25,46.26,1.48,53.74,54.21,4.92,0.68,70 to 80,30 to 40,13.5,0 to 10,60 to 70,70 to 80,7,40 to 50,33.93,10 to 20,20 to 30,5.87,8,90 to 100,7189.61,80 to 90,5791.88,80 to 90,Non-Hispanic White,10 to 20,82,121384,40 to 50,50 to 60,90 to 100,90 to 100,No,2433,2071,1.68,16.46,90 to 100,,
6037621102,Los Angeles,2896,74.31,0.66,10.77,6.08,0,0.93,7.39,No,SCAG,No,04. 140%+,0.2099612,13793.02,80 to 90,1.05,5.47,89.97,17.83,30 to 40,10.26,2.39,15.96,2.11,69.74,0.91,30.26,84.04,0,3.69,70 to 80,70 to 80,12.46,0 to 10,60 to 70,40 to 50,1,40 to 50,37.69,30 to 40,0 to 10,4.26,6,80 to 90,6177.33,80 to 90,3581.61,80 to 90,Non-Hispanic White,20 to 30,88.4,161204,20 to 30,90 to 100,90 to 100,90 to 100,No,1297,1170,2.04,17.33,90 to 100,,
6037621104,Los Angeles,7074,78.48,2.53,8.69,6.46,0,0.24,5.65,No,SCAG,No,04. 140%+,0.4049625,17468.28,80 to 90,0.9,7.25,86.08,12.78,10 to 20,13.18,6.53,52.46,5.26,40.32,0.35,59.68,46.06,2.92,0.87,70 to 80,70 to 80,13.46,0 to 10,60 to 70,60 to 70,7,30 to 40,35.88,0 to 10,20 to 30,5.79,8,90 to 100,9018.12,80 to 90,5617.8,80 to 90,Non-Hispanic White,10 to 20,82,150710,0 to 10,80 to 90,90 to 100,90 to 100,No,3652,3291,1.64,17.94,90 to 100,,
6037621201,Los Angeles,6601,57.4,1.92,25.74,11.85,0,0.55,4.59,No,SCAG,No,04. 140%+,0.6318138,10447.7,70 to 80,1.25,4.04,89.75,15.14,40 to 50,17.58,2.82,38.14,2.66,53.12,2.04,46.88,61.86,1.61,0.88,70 to 80,60 to 70,20.25,0 to 10,50 to 60,50 to 60,2,30 to 40,30.17,10 to 20,10 to 20,5.31,7,70 to 80,4298.73,70 to 80,2896.42,80 to 90,Non-Hispanic White,10 to 20,81,114583,50 to 60,0 to 10,80 to 90,80 to 90,No,2716,2519,1.92,14.65,70 to 80,,
6037621204,Los Angeles,3142,66.17,4.65,11.68,13.62,0.38,0,8.37,No,SCAG,No,03. 80-140%,0.4509685,6967.23,50 to 60,4.1,6.29,82.67,14.4,20 to 30,18.56,5.71,87.8,1.8,29.02,4.92,70.98,12.2,2.02,2.34,70 to 80,70 to 80,24.11,10 to 20,50 to 60,60 to 70,9,20 to 30,35.34,0 to 10,30 to 40,6.7,8,80 to 90,4616.73,90 to 100,7290.97,80 to 90,Non-Hispanic White,0 to 10,81.8,95403,40 to 50,60 to 70,80 to 90,80 to 90,No,2082,1840,1.48,15.97,90 to 100,,
6037621301,Los Angeles,6819,64.82,3.59,11.5,13.86,0,0,5.24,No,SCAG,No,04. 140%+,0.6026757,11314.54,70 to 80,0.78,4.55,92.95,21.04,20 to 30,16.39,5.35,48.65,4.65,47.56,0,52.44,50.24,1.27,4.58,70 to 80,50 to 60,23.26,10 to 20,50 to 60,40 to 50,1,30 to 40,31.13,10 to 20,20 to 30,6.3,7,80 to 90,5118.84,60 to 70,2231.71,80 to 90,Non-Hispanic White,10 to 20,84.4,106044,20 to 30,70 to 80,80 to 90,80 to 90,No,3085,2765,1.91,15.59,80 to 90,,
6037621324,Los Angeles,3804,65.64,1.39,20.56,9.12,0,0.29,5.79,No,SCAG,No,04. 140%+,0.2469571,15403.49,80 to 90,5.02,1.73,86.71,23.03,20 to 30,25.67,3.38,74.08,3.13,33.23,5.7,66.77,25.92,0,11.93,70 to 80,80 to 90,26.64,10 to 20,50 to 60,60 to 70,8,30 to 40,32.05,0 to 10,40 to 50,7.32,9,90 to 100,9280.96,80 to 90,4624.28,80 to 90,Non-Hispanic White,10 to 20,81.5,91816,40 to 50,50 to 60,80 to 90,80 to 90,No,2292,1980,1.47,16.96,90 to 100,,
6037621326,Los Angeles,2945,74.97,1.87,13.58,5.6,0,0,5.74,No,SCAG,No,04. 140%+,0.2842002,10362.41,70 to 80,1.94,2.82,86.79,23.7,10 to 20,14.48,0.48,77.89,5.43,24.38,1.5,75.62,21.79,4.51,0.48,60 to 70,70 to 80,26.64,10 to 20,50 to 60,60 to 70,7,40 to 50,27.51,0 to 10,40 to 50,7.32,5,90 to 100,6685.43,90 to 100,7519.35,80 to 90,Non-Hispanic White,10 to 20,80.7,102703,20 to 30,90 to 100,80 to 90,80 to 90,No,1900,1657,1.59,16.45,90 to 100,,
6037621400,Los Angeles,4496,71.2,2.47,12.14,9.72,0,0.8,5.2,No,SCAG,No,04. 140%+,0.4924822,9129.26,60 to 70,4.81,2.97,87.02,16.93,40 to 50,20,2.94,35.71,3.45,51.07,0.49,48.93,63.11,4.28,3.45,70 to 80,50 to 60,22.8,10 to 20,50 to 60,40 to 50,5,30 to 40,32.51,10 to 20,20 to 30,6.18,4,70 to 80,4134.16,60 to 70,1996.01,80 to 90,Non-Hispanic White,10 to 20,81.4,106591,50 to 60,30 to 40,70 to 80,80 to 90,No,2036,1870,1.8,13.55,60 to 70,,
6037650001,Los Angeles,5617,21.79,0.32,24.6,47.78,0,0.68,14.9,No,SCAG,No,03. 80-140%,0.6116418,9183.48,60 to 70,4.55,6.92,84.8,17.91,40 to 50,11.16,9.03,28.47,6.99,64.96,2.98,35.04,70.87,0.29,5.87,80 to 90,50 to 60,45.71,50 to 60,70 to 80,10 to 20,2,20 to 30,27.88,10 to 20,30 to 40,7.04,7,70 to 80,3698.24,50 to 60,1383.16,30 to 40,Asian,0 to 10,81.7,92101,10 to 20,80 to 90,60 to 70,70 to 80,Yes,2262,2072,1.91,14.5,70 to 80,,
6037650003,Los Angeles,3200,19,7.25,36.13,31.25,0.94,0,6.47,Yes,SCAG,No,02. 60-80%,0.1946125,16442.93,80 to 90,0,4.02,88.86,14.96,40 to 50,22.45,8.45,59.64,11.34,32.94,3.44,67.06,40.36,0,12.53,80 to 90,70 to 80,48.03,50 to 60,70 to 80,40 to 50,2,30 to 40,24.42,20 to 30,40 to 50,7.49,9,90 to 100,6608,30 to 40,673.13,40 to 50,Hispanic,10 to 20,83.5,64444,10 to 20,20 to 30,70 to 80,70 to 80,Yes,1286,1172,1.91,12.64,50 to 60,,
6037650004,Los Angeles,4023,23.07,6.14,19.76,46.68,0.37,0.3,16.58,Yes,SCAG,No,03. 80-140%,0.2910778,13821.05,80 to 90,0.85,8.97,82.11,24.91,30 to 40,26.95,6.28,58.89,10.37,42.45,2.97,57.55,41.11,1.84,12.73,80 to 90,60 to 70,48.03,50 to 60,70 to 80,30 to 40,4,30 to 40,30.34,20 to 30,40 to 50,7.49,9,80 to 90,5641.1,40 to 50,1016.91,40 to 50,Asian,40 to 50,82.2,70134,60 to 70,30 to 40,70 to 80,70 to 80,Yes,1642,1496,1.84,13.7,60 to 70,,
6037650101,Los Angeles,6022,18.88,0.7,19.36,54.17,1.23,0,8.69,No,SCAG,No,04. 140%+,0.7322714,8223.73,60 to 70,0,10.51,84.53,15.45,50 to 60,11.04,0.64,10.57,5.9,78.7,1.88,21.3,84.55,0,12.27,80 to 90,70 to 80,44.43,40 to 50,70 to 80,30 to 40,1,20 to 30,26.92,40 to 50,30 to 40,6.91,4,60 to 70,2970.21,70 to 80,2454.01,60 to 70,Asian,30 to 40,83,104679,60 to 70,60 to 70,70 to 80,70 to 80,Yes,2175,2033,2.33,15.49,80 to 90,,
6037650102,Los Angeles,2252,34.86,1.51,22.6,35.04,0,0,4.97,No,SCAG,No,03. 80-140%,0.3290934,6843.04,50 to 60,0,8.88,88.32,21.61,30 to 40,10.39,5.59,12.8,4.31,77.23,1,22.77,87.2,1.45,7.37,80 to 90,80 to 90,48.03,50 to 60,70 to 80,10 to 20,0,20 to 30,27.74,40 to 50,40 to 50,7.49,7,50 to 60,2373.19,60 to 70,1698.61,60 to 70,Asian,20 to 30,81.3,96172,10 to 20,90 to 100,40 to 50,40 to 50,Yes,781,751,2.25,16.41,90 to 100,,
6037650200,Los Angeles,6100,40,1.26,26.95,26.84,0.11,1.54,6.86,No,SCAG,No,04. 140%+,0.9359808,6517.23,50 to 60,0.52,4.53,89.69,22.35,40 to 50,10.86,2.89,11.27,3.76,76.59,2.23,23.41,88.17,1.45,7.14,80 to 90,70 to 80,46.65,50 to 60,70 to 80,50 to 60,3,40 to 50,23.84,30 to 40,40 to 50,7.3,1,40 to 50,2095.13,70 to 80,3369.73,70 to 80,Non-Hispanic White,20 to 30,81.8,97645,20 to 30,50 to 60,50 to 60,50 to 60,Yes,1961,1935,2.14,13.87,60 to 70,,
6037650300,Los Angeles,7147,27.62,7.11,27.19,32.1,0.21,3.68,8.63,Yes,SCAG,No,03. 80-140%,0.7227933,9888.03,70 to 80,1.92,16.92,78.26,29.63,40 to 50,20.12,4.95,41.02,9.79,45.95,0.17,54.05,54.25,1.55,10.33,80 to 90,70 to 80,41.03,40 to 50,60 to 70,50 to 60,2,30 to 40,27.88,20 to 30,30 to 40,6.64,7,70 to 80,3659.41,70 to 80,2767.04,70 to 80,Asian,40 to 50,81.3,66111,50 to 60,90 to 100,70 to 80,70 to 80,Yes,2645,2446,1.96,15.59,80 to 90,,
6037650401,Los Angeles,4728,46.19,0.19,11.89,36.8,0,0.3,5.94,No,SCAG,No,04. 140%+,1.346457,3511.44,30 to 40,0,9.66,88.58,16.25,30 to 40,16.86,2.17,9.03,6.02,74.63,0.36,25.37,90.97,1,6.93,70 to 80,50 to 60,27.69,20 to 30,60 to 70,50 to 60,5,40 to 50,26.23,40 to 50,20 to 30,6.12,7,20 to 30,1151.91,90 to 100,6701.29,80 to 90,Non-Hispanic White,10 to 20,81.4,126786,80 to 90,50 to 60,60 to 70,70 to 80,No,1551,1474,2.36,14.93,80 to 90,,
6037650501,Los Angeles,3055,53.52,0,13.36,28.61,0,0.29,2.2,No,SCAG,No,04. 140%+,0.382357,7989.92,50 to 60,0.58,3.7,91.7,16.65,40 to 50,12.56,1.73,0,1.31,87.22,1.15,12.78,100,1.31,9.75,70 to 80,60 to 70,26.92,10 to 20,60 to 70,50 to 60,3,30 to 40,24.28,20 to 30,20 to 30,6.09,4,60 to 70,2777.51,50 to 60,1239.68,80 to 90,Non-Hispanic White,10 to 20,81.8,107468,90 to 100,70 to 80,50 to 60,50 to 60,No,1062,1041,2.21,15.23,80 to 90,,
6037650502,Los Angeles,4330,45.87,5.57,18.71,25.59,0,0,6.98,No,SCAG,No,04. 140%+,0.5146499,8413.49,60 to 70,0.39,8.1,85.17,20.72,30 to 40,13.79,1.27,19.68,2.15,68.15,0.88,31.85,77.05,0.83,5.32,70 to 80,50 to 60,22.3,10 to 20,60 to 70,50 to 60,2,30 to 40,28.71,20 to 30,10 to 20,5.2,5,60 to 70,3149.71,50 to 60,1365.98,80 to 90,Non-Hispanic White,0 to 10,83,118324,10 to 20,30 to 40,70 to 80,70 to 80,No,1621,1501,2.15,12.11,50 to 60,,
6037650602,Los Angeles,7451,27.89,5.03,10.08,53.43,0.21,0.39,10.32,No,SCAG,No,03. 80-140%,0.4784076,15574.59,80 to 90,0.47,9.77,79.08,15.1,10 to 20,24.78,10.1,75.33,7.81,17.6,2.36,82.4,19.07,2.17,4.17,70 to 80,80 to 90,28.34,20 to 30,60 to 70,20 to 30,4,30 to 40,29.13,10 to 20,20 to 30,6.44,3,80 to 90,6379.5,90 to 100,17167.37,80 to 90,Asian,0 to 10,81.2,75957,30 to 40,80 to 90,80 to 90,70 to 80,No,3052,2801,1.5,15.27,80 to 90,,
6037650603,Los Angeles,3694,46.07,3.84,7.34,41.55,0,0,7.12,No,SCAG,No,03. 80-140%,0.4948981,7464.16,50 to 60,0,10.47,83.68,12.36,30 to 40,16.62,7.17,33.82,1.68,58.63,0.9,41.37,66.18,2.48,10.8,70 to 80,40 to 50,24.55,10 to 20,60 to 70,30 to 40,3,30 to 40,28.29,10 to 20,10 to 20,5.66,0,60 to 70,3172.37,50 to 60,1432.62,80 to 90,Non-Hispanic White,0 to 10,84.2,86726,0 to 10,50 to 60,70 to 80,70 to 80,No,1570,1465,1.92,14.16,70 to 80,,
6037650604,Los Angeles,5855,35.06,1.06,13.66,39.45,6.4,0.36,11.5,Yes,SCAG,No,03. 80-140%,0.1990009,29421.98,90 to 100,0,2.46,81.64,27.36,10 to 20,19.51,13.33,89.93,5.06,5.52,6.9,94.48,10.07,1,13.85,70 to 80,80 to 90,28.34,20 to 30,60 to 70,20 to 30,3,30 to 40,27.99,0 to 10,20 to 30,6.44,5,90 to 100,12778.84,90 to 100,6457.26,80 to 90,Asian,0 to 10,82.8,58575,50 to 60,20 to 30,70 to 80,70 to 80,No,2543,2445,1.31,15.57,80 to 90,,
6037650605,Los Angeles,3026,38.66,2.68,11.96,41.64,0,0.76,8.76,No,SCAG,No,03. 80-140%,0.1869453,16186.55,80 to 90,2.92,12.78,77.43,20.83,10 to 20,15.96,5.39,63.6,3.54,32.07,1.16,67.93,35.38,1.29,9.55,70 to 80,70 to 80,28.34,20 to 30,60 to 70,20 to 30,2,10 to 20,29.53,0 to 10,20 to 30,6.44,7,80 to 90,6274.56,50 to 60,1235.66,80 to 90,Asian,0 to 10,80.4,90167,20 to 30,50 to 60,70 to 80,70 to 80,No,1173,1132,1.65,13.5,60 to 70,,
6037650701,Los Angeles,2478,47.26,1.09,19.65,31.52,0,0.2,7.51,No,SCAG,No,04. 140%+,0.7746476,3198.87,20 to 30,1.06,10.94,85.32,16.51,30 to 40,17.67,5.2,18.77,0.56,82.1,1.06,17.9,80.65,0.48,4.84,70 to 80,50 to 60,26.13,10 to 20,60 to 70,40 to 50,8,20 to 30,32.16,10 to 20,20 to 30,5.95,3,30 to 40,1320.6,90 to 100,14649.24,80 to 90,Non-Hispanic White,10 to 20,80.7,108958,90 to 100,10 to 20,80 to 90,70 to 80,No,1023,961,1.9,17.46,90 to 100,,
6037650702,Los Angeles,4815,55.06,0.25,14.54,24.84,0,0.29,2.43,No,SCAG,No,04. 140%+,0.5401048,8914.94,60 to 70,0,5.24,91.33,15.81,30 to 40,11.91,1.21,9.14,2.2,85.91,0.37,14.09,90.36,1.34,6.06,70 to 80,50 to 60,22.9,10 to 20,60 to 70,30 to 40,5,40 to 50,26.88,30 to 40,10 to 20,5.29,0,60 to 70,2997.57,30 to 40,605.44,90 to 100,Non-Hispanic White,10 to 20,82.9,124781,20 to 30,40 to 50,70 to 80,70 to 80,No,1619,1569,2.42,12.28,50 to 60,,
6037650800,Los Angeles,6550,26.12,0.56,4.34,64.35,0,0,5.15,No,SCAG,No,03. 80-140%,0.497883,13155.7,80 to 90,0,5.79,91.39,19.81,0 to 10,26.52,4.86,39.17,2.92,62.05,0.62,37.95,59.62,2.2,8.27,70 to 80,60 to 70,22.94,10 to 20,60 to 70,60 to 70,1,50 to 60,30.27,10 to 20,10 to 20,4.85,5,80 to 90,6276.58,70 to 80,2452.38,80 to 90,Asian,0 to 10,84.5,85607,70 to 80,90 to 100,80 to 90,80 to 90,No,3125,2759,1.66,15.91,90 to 100,,
6037650901,Los Angeles,5436,40.93,3.33,21.47,28.84,0,1.53,5.7,No,SCAG,Yes,03. 80-140%,1.368821,3971.3,30 to 40,1.09,10.09,79.42,23.23,50 to 60,20.32,7.1,38.08,4.19,42.08,0.77,57.92,60.33,7.39,7.05,70 to 80,70 to 80,59.34,60 to 70,60 to 70,20 to 30,4,20 to 30,29.02,10 to 20,30 to 40,7.14,5,40 to 50,1983.46,90 to 100,12750.39,80 to 90,Non-Hispanic White,30 to 40,79.7,77621,30 to 40,80 to 90,70 to 80,70 to 80,No,2715,2393,1.66,16.36,90 to 100,,
6037650902,Los Angeles,6776,27.33,2.82,30.96,34.59,2.73,1.31,6.64,No,SCAG,No,03. 80-140%,0.7692499,8808.58,60 to 70,0.45,5.96,89.22,22.88,30 to 40,12.47,5.88,31.23,5.54,43.93,0,56.07,67.79,2.99,5.26,70 to 80,80 to 90,57.63,60 to 70,60 to 70,50 to 60,2,40 to 50,26.13,20 to 30,30 to 40,6.98,5,70 to 80,3591.81,80 to 90,3936.3,70 to 80,Asian,10 to 20,80.4,92645,30 to 40,70 to 80,70 to 80,70 to 80,No,2763,2536,1.89,16.33,90 to 100,,
6037651001,Los Angeles,5574,33.69,2.05,33.05,26.18,1.69,0,8.47,No,SCAG,No,04. 140%+,0.5470021,10190.09,70 to 80,0.42,4.8,90.23,19.76,30 to 40,16.98,5.35,14.43,6.61,77.06,1.71,22.94,70.99,0,14.1,70 to 80,60 to 70,54.64,60 to 70,60 to 70,30 to 40,3,40 to 50,30.04,30 to 40,30 to 40,6.61,4,70 to 80,3522.84,30 to 40,755.02,60 to 70,Non-Hispanic White,20 to 30,81.3,96066,60 to 70,70 to 80,70 to 80,60 to 70,No,1927,1796,2.04,14,60 to 70,,
6037651002,Los Angeles,4845,31.6,4.38,19.61,38.16,0,1.32,5.19,No,SCAG,No,03. 80-140%,0.456999,10601.77,70 to 80,0.4,9.41,85.57,22.87,40 to 50,8.76,1.86,29.97,6.37,58.99,1.05,41.01,69.53,1.61,5.05,70 to 80,80 to 90,50.72,50 to 60,60 to 70,30 to 40,3,30 to 40,29.2,40 to 50,20 to 30,6.23,0,70 to 80,3899.35,60 to 70,2100.66,70 to 80,Asian,10 to 20,82.8,87229,20 to 30,0 to 10,80 to 90,70 to 80,No,1782,1719,2.2,16.02,90 to 100,,
6037651101,Los Angeles,5229,40.24,0.8,8.4,47.39,0,0.31,5.61,No,SCAG,No,04. 140%+,2.151809,2430.05,20 to 30,0.67,6.95,91.33,29.46,20 to 30,15.23,5.54,39.73,0.92,57.06,0,42.94,60.27,0,10.13,70 to 80,60 to 70,27.3,20 to 30,60 to 70,50 to 60,5,40 to 50,29.77,20 to 30,20 to 30,6.09,1,20 to 30,905.28,90 to 100,11468.49,70 to 80,Asian,10 to 20,83.9,96010,30 to 40,40 to 50,70 to 80,70 to 80,No,1948,1842,2.09,13.97,60 to 70,,
6037651102,Los Angeles,3656,45.35,3.23,15.48,32.99,0,0,5.91,Yes,SCAG,No,03. 80-140%,0.3241011,11280.43,70 to 80,1.28,4.81,88.2,22.25,10 to 20,22.56,7.35,62.77,3.28,46.62,4.32,53.38,36.77,0.91,3.06,70 to 80,60 to 70,28.68,20 to 30,60 to 70,50 to 60,5,30 to 40,33.63,0 to 10,30 to 40,6.81,5,80 to 90,5470.52,70 to 80,3184.19,80 to 90,Non-Hispanic White,10 to 20,84.6,67292,30 to 40,90 to 100,80 to 90,80 to 90,No,1773,1673,1.55,15.25,80 to 90,,
6037651201,Los Angeles,4834,63.2,0.6,11.46,19.11,1.39,0,2.74,No,SCAG,No,04. 140%+,0.674019,7171.9,50 to 60,0.35,5.18,93.13,15.21,60 to 70,11.3,1.2,0,1.82,88.36,0.95,11.64,98.47,0.39,2.83,70 to 80,30 to 40,24.66,10 to 20,60 to 70,30 to 40,5,40 to 50,35.46,40 to 50,20 to 30,5.87,2,50 to 60,2620.1,30 to 40,602.36,90 to 100,Non-Hispanic White,10 to 20,83.5,147628,20 to 30,70 to 80,70 to 80,80 to 90,No,1766,1667,2.33,12.97,50 to 60,,
6037651221,Los Angeles,3596,26.31,6.65,13.13,51.45,0,0,5.02,Yes,SCAG,No,03. 80-140%,0.2688167,13377.15,80 to 90,0,6.42,85.33,19.02,10 to 20,17.91,6.34,64.38,4.87,28.65,3.7,71.35,35.63,0.39,10.48,70 to 80,60 to 70,27.94,20 to 30,60 to 70,0 to 10,4,40 to 50,32.6,0 to 10,30 to 40,6.63,5,80 to 90,5356.81,90 to 100,6573.25,90 to 100,Asian,10 to 20,86.2,80642,50 to 60,90 to 100,70 to 80,80 to 90,No,1440,1389,1.74,16,90 to 100,,
